date,fr_gb,gb_fr,fr_cwe,cwe_fr,fr_ch,ch_fr,fr_it,it_fr,fr_es,es_fr,export_france,import_france
2005-01-06,1979.0,0.0,2515.0,-2985.0,3295.0,-1222.0,2432.0,0.0,1408.0,-30.0,11629.0,-4237.0
2010-10-26,0.0,-1985.0,45.0,-3756.0,1821.0,-208.0,1514.0,-863.0,5.0,-15.0,3385.0,-6827.0
2005-01-07,1979.0,0.0,2388.0,-3809.0,3095.0,-1147.0,2432.0,0.0,1408.0,-30.0,11302.0,-4986.0
2010-10-27,21.0,-1975.0,117.0,-4347.0,2534.0,-529.0,1288.0,-1695.0,5.0,-15.0,3965.0,-8561.0
2005-01-08,1999.0,0.0,2893.0,-3606.0,3302.0,-1426.0,2440.0,0.0,1408.0,-30.0,12042.0,-5062.0
2010-10-28,0.0,-2000.0,17.0,-4578.0,2664.0,-1002.0,2039.0,-270.0,2.0,-8.0,4722.0,-7858.0
2005-01-09,1999.0,0.0,2544.0,-3545.0,2307.0,-1407.0,2440.0,0.0,1408.0,-30.0,10698.0,-4982.0
2010-10-29,0.0,-2000.0,1043.0,-3248.0,2434.0,-805.0,2209.0,-720.0,2.0,-5.0,5688.0,-6778.0
2010-10-30,1432.0,-758.861,520.0,-4004.0,2596.0,-331.0,1056.0,0.0,2.0,-5.0,5606.0,-5098.861
2010-10-31,1990.0,0.0,1531.0,-2038.0,2621.0,-429.0,1056.0,0.0,2.0,-8.0,7200.0,-2475.0
2005-01-10,2000.0,0.0,2573.0,-2206.0,3102.0,-1082.0,2440.0,0.0,1408.0,-30.0,11523.0,-3318.0
2010-11-01,1847.0,-62.0,3252.0,-1472.0,2830.0,-157.0,1056.0,0.0,2.0,-8.0,8987.0,-1699.0
2010-11-02,992.0,-1404.0,2848.0,-1165.0,2760.0,-186.0,1056.0,0.0,2.0,-8.0,7658.0,-2763.0
2005-01-11,2000.0,0.0,2490.0,-1925.0,3313.0,-926.0,2440.0,0.0,1393.0,-30.0,11636.0,-2881.0
2010-11-03,0.0,-1951.0,797.0,-3628.0,3135.0,-29.0,2652.0,0.0,2.0,-7.0,6586.0,-5615.0
2010-11-04,224.375,-820.0,602.0,-3238.0,2979.0,-688.0,2651.0,0.0,9.0,0.0,6465.375,-4746.0
2005-01-12,551.0,-455.0,2824.0,-3016.0,3257.0,-188.0,2629.0,0.0,1406.0,-18.0,10667.0,-3677.0
2005-01-13,641.0,-245.5,2625.0,-4843.0,3272.0,-703.0,2629.0,0.0,1391.0,-36.0,10558.0,-5827.5
2010-11-05,2040.0,-40.0,344.0,-2704.0,2904.0,-371.0,2533.0,-80.0,801.0,-14.0,8622.0,-3209.0
2005-01-14,1695.0,-875.5,2571.0,-3139.0,3300.0,-945.0,2440.0,0.0,1395.0,-34.0,11401.0,-4993.5
2010-11-06,1910.0,-6.0,625.0,-3037.0,2919.0,-11.0,2526.0,0.0,401.0,-14.0,8381.0,-3068.0
2005-01-15,1819.0,0.0,2564.0,-3117.0,3378.0,-876.0,2440.0,0.0,1405.0,-34.0,11606.0,-4027.0
2005-01-16,1753.0,0.0,2514.0,-3001.0,3358.0,-529.0,2440.0,0.0,1405.0,-34.0,11470.0,-3564.0
2010-11-07,1950.0,-211.0,3038.0,-1132.0,2859.0,-147.0,2133.0,0.0,711.0,-14.0,10691.0,-1504.0
2005-01-17,1645.0,0.0,2489.0,-2861.0,3308.0,-787.0,2440.0,0.0,1405.0,-34.0,11287.0,-3682.0
2010-11-08,1465.0,-1085.0,1002.0,-2659.0,2886.0,-321.0,2010.0,0.0,1.0,-14.0,7364.0,-4079.0
2010-11-09,1503.0,-912.0,99.0,-2110.0,2966.0,-11.0,2065.0,-80.0,1.0,-14.0,6634.0,-3127.0
2005-01-18,1658.0,-397.5,2568.0,-4327.0,3313.0,-699.0,2440.0,0.0,1390.0,-34.0,11369.0,-5457.5
2010-11-10,0.0,-992.0,3427.0,-991.0,2920.0,-108.0,2536.0,0.0,2.0,-1.0,8885.0,-2092.0
2005-01-19,326.0,-163.5,2619.0,-3690.0,3271.0,-470.0,2440.0,0.0,1202.0,-59.0,9858.0,-4382.5
2010-11-11,1000.0,0.0,245.0,-3792.0,3006.0,0.0,2460.0,0.0,803.0,-409.0,7514.0,-4201.0
2005-01-20,1895.0,-897.0,2554.0,-3745.0,3357.0,-768.0,2441.0,0.0,1391.0,-15.0,11638.0,-5425.0
2010-11-12,2000.0,0.0,397.0,-2117.0,3001.0,0.0,2540.0,0.0,612.0,-78.0,8550.0,-2195.0
2005-01-21,1994.0,0.0,2879.0,-3610.0,3052.0,-498.0,2441.0,0.0,1352.0,-15.0,11718.0,-4123.0
2010-11-13,2000.0,0.0,985.0,-2133.0,3024.0,0.0,2540.0,0.0,803.0,-23.0,9352.0,-2156.0
2005-01-22,1998.0,0.0,2861.0,-2548.0,3237.0,-643.0,2441.0,0.0,1406.0,-15.0,11943.0,-3206.0
2010-11-14,1996.0,0.0,1391.0,-298.0,2641.0,-139.0,2540.0,0.0,803.0,-23.0,9371.0,-460.0
2005-01-23,1998.0,0.0,2524.0,-3344.0,3237.0,-766.0,2441.0,0.0,1404.0,-15.0,11604.0,-4125.0
